Date,Open,High,Low,Close,Adj Close,Volume
2001-07-23,11.463300,11.463300,11.086700,11.233300,1.407944,134265
2001-07-24,11.266700,11.600000,11.266700,11.590000,1.452651,1305270
2001-07-25,11.463300,11.666700,11.340000,11.513300,1.443038,1056825
2001-07-26,11.533300,11.566700,11.133300,11.340000,1.421317,1683750
2001-07-27,11.200000,11.273300,9.370000,10.076700,1.262979,9050535
2001-07-30,10.133300,11.126700,10.000000,10.950000,1.372436,6694035
2001-07-31,10.606700,10.666700,10.120000,10.286700,1.289300,9365070
2001-08-01,10.366700,10.400000,10.100000,10.230000,1.282193,2417610
2001-08-02,10.333300,10.420000,10.210000,10.313300,1.292634,2153190
2001-08-03,10.333300,10.393300,10.266700,10.286700,1.289300,1501575
2001-08-06,10.333300,10.766700,10.173300,10.286700,1.289300,2943480
2001-08-07,10.400000,10.400000,10.236700,10.280000,1.288460,570495
2001-08-08,10.266700,10.333300,9.546670,9.660000,1.210752,5325450
2001-08-09,9.600000,10.060000,9.470000,9.916670,1.242922,6534465
2001-08-10,9.893330,9.983330,9.666670,9.800000,1.228299,3043950
2001-08-13,9.933330,10.000000,9.610000,9.856670,1.235402,1330245
2001-08-14,9.900000,10.160000,9.783330,10.066700,1.261726,1482495
2001-08-15,null,null,null,null,null,null
2001-08-16,10.063300,10.166700,9.906670,10.046700,1.259219,3936045
2001-08-17,10.333300,10.333300,10.133300,10.260000,1.285954,7626840
2001-08-20,10.193300,10.333300,9.790000,9.980000,1.250859,4450035
2001-08-21,10.000000,10.056700,9.933330,9.996670,1.252949,4885635
2001-08-22,null,null,null,null,null,null
2001-08-23,10.000000,10.013300,9.866670,9.976670,1.250442,2519460
2001-08-24,10.190000,10.190000,9.950000,9.973330,1.250023,2444820
2001-08-27,10.010000,10.166700,9.873330,9.950000,1.783614,4195590
2001-08-28,9.770000,10.193300,9.770000,10.133300,1.816472,1242105
2001-08-29,9.933330,10.243300,9.870000,10.143300,1.818265,2766300
2001-08-30,10.106700,10.266700,10.100000,10.216700,1.831423,1536015
2001-08-31,10.173300,10.293300,10.136700,10.253300,1.837983,2001180
2001-09-03,10.203300,10.266700,10.080000,10.126700,1.815289,1700910
2001-09-04,10.086700,10.086700,9.946670,10.003300,1.793168,2012085
2001-09-05,10.066700,10.066700,9.940000,10.003300,1.793168,826050
2001-09-06,10.000000,10.060000,9.973330,10.006700,1.793778,1163430
2001-09-07,9.900000,10.216700,9.900000,10.140000,1.817673,2169165
2001-09-10,10.116700,10.300000,9.933330,9.986670,1.790187,865800
2001-09-11,10.026700,10.030000,8.986670,9.006670,1.614515,8560920
2001-09-12,8.760000,8.760000,8.106670,8.320000,1.491424,6161895
2001-09-13,8.350000,8.620000,7.900000,7.966670,1.428087,5639130
2001-09-14,8.033330,8.033330,7.266670,7.773330,1.393429,5389515
2001-09-17,7.336670,7.600000,7.073330,7.173330,1.285875,6313395
2001-09-18,7.266670,7.803330,6.940000,7.220000,1.294241,6743895
2001-09-19,7.333330,7.693330,7.233330,7.446670,1.334873,3413640
